Date,"Daily foreign exchange rates, 31 December 1979 ? 31 December 1998"
12/31/1979,1.726
1/2/1980,1.714
1/3/1980,1.711
1/4/1980,1.713
1/7/1980,1.708
1/8/1980,1.713
1/9/1980,1.712
1/10/1980,1.717
1/11/1980,1.721
1/14/1980,1.719
1/15/1980,1.728
1/16/1980,1.722
1/17/1980,1.724
1/18/1980,1.724
1/21/1980,1.729
1/22/1980,1.734
1/23/1980,1.73
1/24/1980,1.732
1/25/1980,1.737
1/28/1980,1.739
1/29/1980,1.737
1/30/1980,1.737
1/31/1980,1.744
2/1/1980,1.744
2/4/1980,1.742
2/5/1980,1.743
2/6/1980,1.733
2/7/1980,1.739
2/8/1980,1.739
2/11/1980,1.739
2/13/1980,1.735
2/14/1980,1.736
2/15/1980,1.742
2/19/1980,1.748
2/20/1980,1.748
2/21/1980,1.747
2/22/1980,1.759
2/25/1980,1.762
2/26/1980,1.764
2/27/1980,1.758
2/28/1980,1.764
2/29/1980,1.777
3/3/1980,1.783
3/4/1980,1.791
3/5/1980,1.789
3/6/1980,1.795
3/7/1980,1.796
3/10/1980,1.81
3/11/1980,1.812
3/12/1980,1.808
3/13/1980,1.822
3/14/1980,1.833
3/17/1980,1.874
3/18/1980,1.877
3/19/1980,1.873
3/20/1980,1.866
3/21/1980,1.878
3/24/1980,1.888
3/25/1980,1.897
3/26/1980,1.897
3/27/1980,1.92
3/28/1980,1.932
3/31/1980,1.952
4/1/1980,1.962
4/2/1980,1.955
4/3/1980,1.964
4/4/1980,1.97
4/7/1980,1.975
4/8/1980,1.941
4/9/1980,1.89
4/10/1980,1.877
4/11/1980,1.877
4/14/1980,1.872
4/15/1980,1.895
4/16/1980,1.86
4/17/1980,1.857
4/18/1980,1.854
4/21/1980,1.849
4/22/1980,1.862
4/23/1980,1.823
4/24/1980,1.82
4/25/1980,1.813
4/28/1980,1.798
4/29/1980,1.797
4/30/1980,1.8
5/1/1980,1.802
5/2/1980,1.824
5/5/1980,1.796
5/6/1980,1.793
5/7/1980,1.786
5/8/1980,1.793
5/9/1980,1.812
5/12/1980,1.791
5/13/1980,1.794
5/14/1980,1.789
5/15/1980,1.791
5/16/1980,1.794
5/19/1980,1.803
5/20/1980,1.803
5/21/1980,1.788
5/22/1980,1.79
5/23/1980,1.779
5/27/1980,1.762
5/28/1980,1.772
5/29/1980,1.779
5/30/1980,1.779
6/2/1980,1.783
6/3/1980,1.775
6/4/1980,1.774
6/5/1980,1.775
6/6/1980,1.772
6/9/1980,1.762
6/10/1980,1.762
6/11/1980,1.766
6/12/1980,1.763
6/13/1980,1.755
6/16/1980,1.768
6/17/1980,1.763
6/18/1980,1.764
6/19/1980,1.767
6/20/1980,1.768
6/23/1980,1.767
6/24/1980,1.77
6/25/1980,1.769
6/26/1980,1.765
6/27/1980,1.764
6/30/1980,1.764
7/1/1980,1.762
7/2/1980,1.759
7/3/1980,1.756
7/7/1980,1.739
7/8/1980,1.74
7/9/1980,1.741
7/10/1980,1.738
7/11/1980,1.739
7/14/1980,1.744
7/15/1980,1.748
7/16/1980,1.744
7/17/1980,1.736
7/18/1980,1.747
7/21/1980,1.742
7/22/1980,1.739
7/23/1980,1.74
7/24/1980,1.735
7/25/1980,1.739
7/28/1980,1.734
7/29/1980,1.759
7/30/1980,1.777
7/31/1980,1.781
8/1/1980,1.793
8/4/1980,1.785
8/5/1980,1.776
8/6/1980,1.769
8/7/1980,1.782
8/8/1980,1.783
8/11/1980,1.783
8/12/1980,1.78
8/13/1980,1.782
8/14/1980,1.786
8/15/1980,1.787
8/18/1980,1.798
8/19/1980,1.8
8/20/1980,1.797
8/21/1980,1.796
8/22/1980,1.807
8/25/1980,1.805
8/26/1980,1.802
8/27/1980,1.8
8/28/1980,1.787
8/29/1980,1.792
9/2/1980,1.778
9/3/1980,1.776
9/4/1980,1.777
9/5/1980,1.782
9/8/1980,1.777
9/9/1980,1.78
9/10/1980,1.779
9/11/1980,1.778
9/12/1980,1.78
9/15/1980,1.783
9/16/1980,1.784
9/17/1980,1.781
9/18/1980,1.792
9/19/1980,1.794
9/22/1980,1.807
9/23/1980,1.812
9/24/1980,1.795
9/25/1980,1.798
9/26/1980,1.802
9/29/1980,1.814
9/30/1980,1.813
10/1/1980,1.809
10/2/1980,1.812
10/3/1980,1.811
10/6/1980,1.799
10/7/1980,1.805
10/8/1980,1.804
10/9/1980,1.805
10/10/1980,1.804
10/14/1980,1.817
10/15/1980,1.826
10/16/1980,1.828
10/17/1980,1.844
10/20/1980,1.865
10/21/1980,1.862
10/22/1980,1.864
10/23/1980,1.863
10/24/1980,1.867
10/27/1980,1.879
10/28/1980,1.894
10/29/1980,1.885
10/30/1980,1.898
10/31/1980,1.906
11/3/1980,1.916
11/5/1980,1.943
11/6/1980,1.946
11/7/1980,1.958
11/10/1980,1.902
11/12/1980,1.901
11/13/1980,1.893
11/14/1980,1.905
11/17/1980,1.931
11/18/1980,1.919
11/19/1980,1.903
11/20/1980,1.915
11/21/1980,1.917
11/24/1980,1.917
11/25/1980,1.911
11/26/1980,1.921
11/28/1980,1.927
12/1/1980,1.941
12/2/1980,1.948
12/3/1980,1.94
12/4/1980,1.944
12/5/1980,1.961
12/8/1980,1.963
12/9/1980,1.983
12/10/1980,2.007
12/11/1980,2.019
12/12/1980,2.007
12/15/1980,1.99
12/16/1980,2.019
12/17/1980,1.979
12/18/1980,1.993
12/19/1980,1.974
12/22/1980,1.957
12/23/1980,1.953
12/24/1980,1.943
12/26/1980,1.943
12/29/1980,1.955
12/30/1980,1.952
12/31/1980,1.974
1/2/1981,1.975
1/5/1981,1.939
1/6/1981,1.935
1/7/1981,1.948
1/8/1981,1.963
1/9/1981,1.979
1/12/1981,1.985
1/13/1981,2.001
1/14/1981,1.993
1/15/1981,2.001
1/16/1981,2.007
1/19/1981,2.009
1/20/1981,2
1/21/1981,1.994
1/22/1981,2.025
1/23/1981,2.035
1/26/1981,2.052
1/27/1981,2.071
1/28/1981,2.085
1/29/1981,2.094
1/30/1981,2.132
2/2/1981,2.121
2/3/1981,2.135
2/4/1981,2.114
2/5/1981,2.146
2/6/1981,2.141
2/9/1981,2.138
2/10/1981,2.148
2/11/1981,2.15
2/13/1981,2.22
2/17/1981,2.196
2/18/1981,2.188
2/19/1981,2.132
2/20/1981,2.096
2/23/1981,2.112
2/24/1981,2.116
2/25/1981,2.107
2/26/1981,2.116
2/27/1981,2.131
3/2/1981,2.152
3/3/1981,2.153
3/4/1981,2.138
3/5/1981,2.139
3/6/1981,2.136
3/9/1981,2.109
3/10/1981,2.108
3/11/1981,2.116
3/12/1981,2.113
3/13/1981,2.11
3/16/1981,2.092
3/17/1981,2.088
3/18/1981,2.056
3/19/1981,2.05
3/20/1981,2.068
3/23/1981,2.087
3/24/1981,2.082
3/25/1981,2.086
3/26/1981,2.113
3/27/1981,2.125
3/30/1981,2.098
3/31/1981,2.111
4/1/1981,2.098
4/2/1981,2.112
4/3/1981,2.127
4/6/1981,2.157
4/7/1981,2.119
4/8/1981,2.133
4/9/1981,2.144
4/10/1981,2.153
4/13/1981,2.172
4/14/1981,2.166
4/15/1981,2.179
4/16/1981,2.188
4/17/1981,2.19
4/20/1981,2.185
4/21/1981,2.182
4/22/1981,2.163
4/23/1981,2.175
4/24/1981,2.178
4/27/1981,2.182
4/28/1981,2.187
4/29/1981,2.213
4/30/1981,2.211
5/1/1981,2.203
5/4/1981,2.245
5/5/1981,2.266
5/6/1981,2.258
5/7/1981,2.275
5/8/1981,2.255
5/11/1981,2.284
5/12/1981,2.296
5/13/1981,2.296
5/14/1981,2.311
5/15/1981,2.309
5/18/1981,2.305
5/19/1981,2.309
5/20/1981,2.298
5/21/1981,2.323
5/22/1981,2.316
5/26/1981,2.334
5/27/1981,2.346
5/28/1981,2.325
5/29/1981,2.33
6/1/1981,2.335
6/2/1981,2.371
6/3/1981,2.361
6/4/1981,2.414
6/5/1981,2.411
6/8/1981,2.405
6/9/1981,2.403
6/10/1981,2.372
6/11/1981,2.405
6/12/1981,2.395
6/15/1981,2.346
6/16/1981,2.348
6/17/1981,2.349
6/18/1981,2.372
6/19/1981,2.378
6/22/1981,2.363
6/23/1981,2.356
6/24/1981,2.37
6/25/1981,2.393
6/26/1981,2.388
6/29/1981,2.393
6/30/1981,2.394
7/1/1981,2.413
7/2/1981,2.412
7/3/1981,2.416
7/6/1981,2.449
7/7/1981,2.444
7/8/1981,2.476
7/9/1981,2.466
7/10/1981,2.439
7/13/1981,2.423
7/14/1981,2.448
7/15/1981,2.408
7/16/1981,2.411
7/17/1981,2.427
7/20/1981,2.447
7/21/1981,2.47
7/22/1981,2.441
7/23/1981,2.446
7/24/1981,2.438
7/27/1981,2.436
7/28/1981,2.441
7/29/1981,2.458
7/30/1981,2.457
7/31/1981,2.471
8/3/1981,2.527
8/4/1981,2.535
8/5/1981,2.51
8/6/1981,2.522
8/7/1981,2.532
8/10/1981,2.571
8/11/1981,2.559
8/12/1981,2.499
8/13/1981,2.517
8/14/1981,2.527
8/17/1981,2.497
8/18/1981,2.498
8/19/1981,2.498
8/20/1981,2.471
8/21/1981,2.449
8/24/1981,2.474
8/25/1981,2.504
8/26/1981,2.465
8/27/1981,2.476
8/28/1981,2.451
8/31/1981,2.448
9/1/1981,2.456
9/2/1981,2.44
9/3/1981,2.426
9/4/1981,2.411
9/8/1981,2.437
9/9/1981,2.43
9/10/1981,2.399
9/11/1981,2.401
9/14/1981,2.376
9/15/1981,2.338
9/16/1981,2.307
9/17/1981,2.28
9/18/1981,2.27
9/21/1981,2.23
9/22/1981,2.282
9/23/1981,2.3
9/24/1981,2.317
9/25/1981,2.323
9/28/1981,2.34
9/29/1981,2.311
9/30/1981,2.325
10/1/1981,2.323
10/2/1981,2.294
10/5/1981,2.225
10/6/1981,2.253
10/7/1981,2.219
10/8/1981,2.206
10/9/1981,2.191
10/13/1981,2.222
10/14/1981,2.223
10/15/1981,2.23
10/16/1981,2.238
10/19/1981,2.233
10/20/1981,2.237
10/21/1981,2.273
10/22/1981,2.282
10/23/1981,2.275
10/26/1981,2.31
10/27/1981,2.306
10/28/1981,2.291
10/29/1981,2.27
10/30/1981,2.244
11/2/1981,2.223
11/4/1981,2.212
11/5/1981,2.225
11/6/1981,2.222
11/9/1981,2.206
11/10/1981,2.229
11/12/1981,2.212
11/13/1981,2.222
11/16/1981,2.241
11/17/1981,2.252
11/18/1981,2.236
11/19/1981,2.244
11/20/1981,2.259
11/23/1981,2.253
11/24/1981,2.23
11/25/1981,2.232
11/27/1981,2.216
11/30/1981,2.214
12/1/1981,2.224
12/2/1981,2.218
12/3/1981,2.232
12/4/1981,2.227
12/7/1981,2.241
12/8/1981,2.249
12/9/1981,2.241
12/10/1981,2.254
12/11/1981,2.261
12/14/1981,2.283
12/15/1981,2.268
12/16/1981,2.278
12/17/1981,2.277
12/18/1981,2.292
12/21/1981,2.284
12/22/1981,2.273
12/23/1981,2.275
12/24/1981,2.268
12/28/1981,2.27
12/29/1981,2.272
12/30/1981,2.251
12/31/1981,2.238
1/4/1982,2.241
1/5/1982,2.262
1/6/1982,2.246
1/7/1982,2.261
1/8/1982,2.259
1/11/1982,2.284
1/12/1982,2.287
1/13/1982,2.293
1/14/1982,2.306
1/15/1982,2.312
1/18/1982,2.298
1/19/1982,2.295
1/20/1982,2.309
1/21/1982,2.297
1/22/1982,2.309
1/25/1982,2.338
1/26/1982,2.314
1/27/1982,2.323
1/28/1982,2.328
1/29/1982,2.317
2/1/1982,2.35
2/2/1982,2.353
2/3/1982,2.36
2/4/1982,2.342
2/5/1982,2.345
2/8/1982,2.358
2/9/1982,2.375
2/10/1982,2.367
2/11/1982,2.367
2/16/1982,2.396
2/17/1982,2.399
2/18/1982,2.366
2/19/1982,2.365
2/22/1982,2.352
2/23/1982,2.373
2/24/1982,2.367
2/25/1982,2.37
2/26/1982,2.388
3/1/1982,2.388
3/2/1982,2.377
3/3/1982,2.372
3/4/1982,2.365
3/5/1982,2.344
3/8/1982,2.343
3/9/1982,2.368
3/10/1982,2.358
3/11/1982,2.371
3/12/1982,2.38
3/15/1982,2.374
3/16/1982,2.378
3/17/1982,2.373
3/18/1982,2.375
3/19/1982,2.384
3/22/1982,2.391
3/23/1982,2.385
3/24/1982,2.387
3/25/1982,2.394
3/26/1982,2.396
3/29/1982,2.415
3/30/1982,2.408
3/31/1982,2.418
4/1/1982,2.403
4/2/1982,2.398
4/5/1982,2.408
4/6/1982,2.414
4/7/1982,2.414
4/8/1982,2.423
4/9/1982,2.423
4/12/1982,2.42
4/13/1982,2.412
4/14/1982,2.419
4/15/1982,2.425
4/16/1982,2.422
4/19/1982,2.41
4/20/1982,2.399
4/21/1982,2.395
4/22/1982,2.396
4/23/1982,2.388
4/26/1982,2.374
4/27/1982,2.369
4/28/1982,2.356
4/29/1982,2.339
4/30/1982,2.331
5/3/1982,2.339
5/4/1982,2.345
5/5/1982,2.321
5/6/1982,2.31
5/7/1982,2.29
5/10/1982,2.286
5/11/1982,2.282
5/12/1982,2.283
5/13/1982,2.293
5/14/1982,2.307
5/17/1982,2.305
5/18/1982,2.317
5/19/1982,2.319
5/20/1982,2.317
5/21/1982,2.306
5/24/1982,2.301
5/25/1982,2.315
5/26/1982,2.329
5/27/1982,2.346
5/28/1982,2.348
6/1/1982,2.376
6/2/1982,2.369
6/3/1982,2.363
6/4/1982,2.365
6/7/1982,2.382
6/8/1982,2.401
6/9/1982,2.415
6/10/1982,2.413
6/11/1982,2.395
6/14/1982,2.422
6/15/1982,2.42
6/16/1982,2.434
6/17/1982,2.446
6/18/1982,2.461
6/21/1982,2.478
6/22/1982,2.454
6/23/1982,2.477
6/24/1982,2.474
6/25/1982,2.487
6/28/1982,2.493
6/29/1982,2.463
6/30/1982,2.46
7/1/1982,2.47
7/2/1982,2.477
7/6/1982,2.49
7/7/1982,2.511
7/8/1982,2.514
7/9/1982,2.494
7/12/1982,2.478
7/13/1982,2.497
7/14/1982,2.496
7/15/1982,2.493
7/16/1982,2.477
7/19/1982,2.474
7/20/1982,2.451
7/21/1982,2.431
7/22/1982,2.433
7/23/1982,2.396
7/26/1982,2.409
7/27/1982,2.428
7/28/1982,2.45
7/29/1982,2.46
7/30/1982,2.466
8/2/1982,2.434
8/3/1982,2.442
8/4/1982,2.486
8/5/1982,2.486
8/6/1982,2.497
8/9/1982,2.518
8/10/1982,2.516
8/11/1982,2.523
8/12/1982,2.518
8/13/1982,2.51
8/16/1982,2.52
8/17/1982,2.507
8/18/1982,2.48
8/19/1982,2.486
8/20/1982,2.453
8/23/1982,2.455
8/24/1982,2.418
8/25/1982,2.428
8/26/1982,2.439
8/27/1982,2.471
8/30/1982,2.507
8/31/1982,2.497
9/1/1982,2.491
9/2/1982,2.474
9/3/1982,2.476
9/7/1982,2.474
9/8/1982,2.488
9/9/1982,2.481
9/10/1982,2.505
9/13/1982,2.519
9/14/1982,2.513
9/15/1982,2.515
9/16/1982,2.513
9/17/1982,2.501
9/20/1982,2.503
9/21/1982,2.505
9/22/1982,2.497
9/23/1982,2.509
9/24/1982,2.514
9/27/1982,2.541
9/28/1982,2.543
9/29/1982,2.528
9/30/1982,2.529
10/1/1982,2.526
10/4/1982,2.554
10/5/1982,2.552
10/6/1982,2.545
10/7/1982,2.523
10/8/1982,2.527
10/12/1982,2.489
10/13/1982,2.511
10/14/1982,2.517
10/15/1982,2.517
10/18/1982,2.515
10/19/1982,2.516
10/20/1982,2.525
10/21/1982,2.53
10/22/1982,2.529
10/25/1982,2.555
10/26/1982,2.548
10/27/1982,2.543
10/28/1982,2.561
10/29/1982,2.56
11/1/1982,2.553
11/3/1982,2.558
11/4/1982,2.576
11/5/1982,2.579
11/8/1982,2.596
11/9/1982,2.582
11/10/1982,2.577
11/12/1982,2.591
11/15/1982,2.587
11/16/1982,2.572
11/17/1982,2.574
11/18/1982,2.569
11/19/1982,2.543
11/22/1982,2.546
11/23/1982,2.549
11/24/1982,2.527
11/26/1982,2.507
11/29/1982,2.485
11/30/1982,2.465
12/1/1982,2.467
12/2/1982,2.448
12/3/1982,2.426
12/6/1982,2.429
12/7/1982,2.425
12/8/1982,2.434
12/9/1982,2.459
12/10/1982,2.453
12/13/1982,2.478
12/14/1982,2.439
12/15/1982,2.451
12/16/1982,2.417
12/17/1982,2.421
12/20/1982,2.418
12/21/1982,2.407
12/22/1982,2.405
12/23/1982,2.396
12/24/1982,2.39
12/27/1982,2.382
12/28/1982,2.371
12/29/1982,2.373
12/30/1982,2.382
12/31/1982,2.378
1/3/1983,2.374
1/4/1983,2.366
1/5/1983,2.349
1/6/1983,2.35
1/7/1983,2.338
1/10/1983,2.332
1/11/1983,2.345
1/12/1983,2.361
1/13/1983,2.342
1/14/1983,2.355
1/17/1983,2.358
1/18/1983,2.393
1/19/1983,2.414
1/20/1983,2.423
1/21/1983,2.442
1/24/1983,2.465
1/25/1983,2.422
1/26/1983,2.426
1/27/1983,2.427
1/28/1983,2.432
1/31/1983,2.465
2/1/1983,2.464
2/2/1983,2.495
2/3/1983,2.466
2/4/1983,2.476
2/7/1983,2.451
2/8/1983,2.443
2/9/1983,2.431
2/10/1983,2.411
2/11/1983,2.406
2/14/1983,2.413
2/15/1983,2.41
2/16/1983,2.388
2/17/1983,2.397
2/18/1983,2.397
2/22/1983,2.41
2/23/1983,2.418
2/24/1983,2.409
2/25/1983,2.415
2/28/1983,2.434
3/1/1983,2.443
3/2/1983,2.432
3/3/1983,2.425
3/4/1983,2.403
3/7/1983,2.389
3/8/1983,2.406
3/9/1983,2.407
3/10/1983,2.394
3/11/1983,2.399
3/14/1983,2.384
3/15/1983,2.388
3/16/1983,2.381
3/17/1983,2.388
3/18/1983,2.396
3/21/1983,2.417
3/22/1983,2.418
3/23/1983,2.425
3/24/1983,2.422
3/25/1983,2.417
3/28/1983,2.434
3/29/1983,2.431
3/30/1983,2.428
3/31/1983,2.431
4/1/1983,2.427
4/4/1983,2.419
4/5/1983,2.418
4/6/1983,2.413
4/7/1983,2.417
4/8/1983,2.427
4/11/1983,2.423
4/12/1983,2.425
4/13/1983,2.442
4/14/1983,2.443
4/15/1983,2.437
4/18/1983,2.459
4/19/1983,2.45
4/20/1983,2.461
4/21/1983,2.456
4/22/1983,2.447
4/25/1983,2.445
4/26/1983,2.451
4/27/1983,2.449
4/28/1983,2.464
4/29/1983,2.467
5/2/1983,2.462
5/3/1983,2.458
5/4/1983,2.447
5/5/1983,2.444
5/6/1983,2.442
5/9/1983,2.435
5/10/1983,2.444
5/11/1983,2.437
5/12/1983,2.441
5/13/1983,2.443
5/16/1983,2.462
5/17/1983,2.462
5/18/1983,2.465
5/19/1983,2.479
5/20/1983,2.478
5/23/1983,2.485
5/24/1983,2.494
5/25/1983,2.49
5/26/1983,2.495
5/27/1983,2.515
5/31/1983,2.525
6/1/1983,2.548
6/2/1983,2.541
6/3/1983,2.543
6/6/1983,2.565
6/7/1983,2.569
6/8/1983,2.568
6/9/1983,2.565
6/10/1983,2.556
6/13/1983,2.554
6/14/1983,2.565
6/15/1983,2.568
6/16/1983,2.556
6/17/1983,2.559
6/20/1983,2.546
6/21/1983,2.55
6/22/1983,2.522
6/23/1983,2.524
6/24/1983,2.526
6/27/1983,2.533
6/28/1983,2.54
6/29/1983,2.544
6/30/1983,2.541
7/1/1983,2.541
7/5/1983,2.569
7/6/1983,2.568
7/7/1983,2.577
7/8/1983,2.578
7/11/1983,2.586
7/12/1983,2.588
7/13/1983,2.585
7/14/1983,2.578
7/15/1983,2.599
7/18/1983,2.597
7/19/1983,2.592
7/20/1983,2.577
7/21/1983,2.582
7/22/1983,2.592
7/25/1983,2.607
7/26/1983,2.611
7/27/1983,2.625
7/28/1983,2.629
7/29/1983,2.649
8/1/1983,2.679
8/2/1983,2.661
8/3/1983,2.661
8/4/1983,2.67
8/5/1983,2.682
8/8/1983,2.696
8/9/1983,2.69
8/10/1983,2.725
8/11/1983,2.735
8/12/1983,2.724
8/15/1983,2.711
8/16/1983,2.662
8/17/1983,2.641
8/18/1983,2.635
8/19/1983,2.656
8/22/1983,2.635
8/23/1983,2.629
8/24/1983,2.636
8/25/1983,2.64
8/26/1983,2.663
8/29/1983,2.68
8/30/1983,2.688
8/31/1983,2.697
9/1/1983,2.696
9/2/1983,2.696
9/6/1983,2.681
9/7/1983,2.688
9/8/1983,2.677
9/9/1983,2.673
9/12/1983,2.661
9/13/1983,2.68
9/14/1983,2.687
9/15/1983,2.68
9/16/1983,2.667
9/19/1983,2.658
9/20/1983,2.669
9/21/1983,2.667
9/22/1983,2.683
9/23/1983,2.653
9/26/1983,2.646
9/27/1983,2.651
9/28/1983,2.646
9/29/1983,2.641
9/30/1983,2.632
10/3/1983,2.623
10/4/1983,2.628
10/5/1983,2.596
10/6/1983,2.581
10/7/1983,2.567
10/11/1983,2.587
10/12/1983,2.614
10/13/1983,2.605
10/14/1983,2.618
10/17/1983,2.603
10/18/1983,2.584
10/19/1983,2.585
10/20/1983,2.589
10/21/1983,2.583
10/24/1983,2.61
10/25/1983,2.604
10/26/1983,2.618
10/27/1983,2.619
10/28/1983,2.621
10/31/1983,2.632
11/1/1983,2.655
11/2/1983,2.645
11/3/1983,2.659
11/4/1983,2.671
11/7/1983,2.68
11/9/1983,2.668
11/10/1983,2.658
11/14/1983,2.676
11/15/1983,2.678
11/16/1983,2.687
11/17/1983,2.698
11/18/1983,2.705
11/21/1983,2.701
11/22/1983,2.689
11/23/1983,2.703
11/25/1983,2.712
11/28/1983,2.712
11/29/1983,2.715
11/30/1983,2.699
12/1/1983,2.702
12/2/1983,2.712
12/5/1983,2.744
12/6/1983,2.735
12/7/1983,2.736
12/8/1983,2.735
12/9/1983,2.752
12/12/1983,2.753
12/13/1983,2.771
12/14/1983,2.767
12/15/1983,2.772
12/16/1983,2.777
12/19/1983,2.772
12/20/1983,2.768
12/21/1983,2.769
12/22/1983,2.769
12/23/1983,2.759
12/27/1983,2.756
12/28/1983,2.752
12/29/1983,2.729
12/30/1983,2.725
1/3/1984,2.761
1/4/1984,2.788
1/5/1984,2.798
1/6/1984,2.811
1/9/1984,2.829
1/10/1984,2.814
1/11/1984,2.84
1/12/1984,2.84
1/13/1984,2.808
1/16/1984,2.798
1/17/1984,2.809
1/18/1984,2.803
1/19/1984,2.793
1/20/1984,2.821
1/23/1984,2.812
1/24/1984,2.826
1/25/1984,2.823
1/26/1984,2.811
1/27/1984,2.821
1/30/1984,2.812
1/31/1984,2.817
2/1/1984,2.792
2/2/1984,2.76
2/3/1984,2.736
2/6/1984,2.743
2/7/1984,2.766
2/8/1984,2.754
2/9/1984,2.738
2/10/1984,2.742
2/14/1984,2.722
2/15/1984,2.667
2/16/1984,2.674
2/17/1984,2.683
2/21/1984,2.708
2/22/1984,2.663
2/23/1984,2.662
2/24/1984,2.625
2/27/1984,2.636
2/28/1984,2.604
2/29/1984,2.598
3/1/1984,2.611
3/2/1984,2.586
3/5/1984,2.58
3/6/1984,2.552
3/7/1984,2.555
3/8/1984,2.588
3/9/1984,2.582
3/12/1984,2.603
3/13/1984,2.572
3/14/1984,2.566
3/15/1984,2.584
3/16/1984,2.628
3/19/1984,2.629
3/20/1984,2.637
3/21/1984,2.647
3/22/1984,2.636
3/23/1984,2.629
3/26/1984,2.6
3/27/1984,2.589
3/28/1984,2.592
3/29/1984,2.586
3/30/1984,2.594
4/2/1984,2.598
4/3/1984,2.623
4/4/1984,2.622
4/5/1984,2.631
4/6/1984,2.623
4/9/1984,2.631
4/10/1984,2.619
4/11/1984,2.61
4/12/1984,2.618
4/13/1984,2.626
4/16/1984,2.635
4/17/1984,2.642
4/18/1984,2.646
4/19/1984,2.66
4/20/1984,2.666
4/23/1984,2.662
4/24/1984,2.683
4/25/1984,2.681
4/26/1984,2.697
4/27/1984,2.705
4/30/1984,2.722
5/1/1984,2.729
5/2/1984,2.727
5/3/1984,2.705
5/4/1984,2.724
5/7/1984,2.773
5/8/1984,2.782
5/9/1984,2.768
5/10/1984,2.779
5/11/1984,2.774
5/14/1984,2.756
5/15/1984,2.743
5/16/1984,2.746
5/17/1984,2.76
5/18/1984,2.777
5/21/1984,2.756
5/22/1984,2.742
5/23/1984,2.759
5/24/1984,2.743
5/25/1984,2.728
5/29/1984,2.732
5/30/1984,2.736
5/31/1984,2.732
6/1/1984,2.685
6/4/1984,2.666
6/5/1984,2.686
6/6/1984,2.678
6/7/1984,2.695
6/8/1984,2.698
6/11/1984,2.715
6/12/1984,2.725
6/13/1984,2.716
6/14/1984,2.721
6/15/1984,2.741
6/18/1984,2.756
6/19/1984,2.759
6/20/1984,2.779
6/21/1984,2.783
6/22/1984,2.783
6/25/1984,2.804
6/26/1984,2.787
6/27/1984,2.797
6/28/1984,2.784
6/29/1984,2.782
7/2/1984,2.792
7/3/1984,2.821
7/5/1984,2.829
7/6/1984,2.839
7/9/1984,2.841
7/10/1984,2.824
7/11/1984,2.841
7/12/1984,2.849
7/13/1984,2.832
7/16/1984,2.822
7/17/1984,2.849
7/18/1984,2.863
7/19/1984,2.845
7/20/1984,2.86
7/23/1984,2.877
7/24/1984,2.868
7/25/1984,2.852
7/26/1984,2.847
7/27/1984,2.886
7/30/1984,2.894
7/31/1984,2.906
8/1/1984,2.918
8/2/1984,2.898
8/3/1984,2.861
8/6/1984,2.886
8/7/1984,2.915
8/8/1984,2.906
8/9/1984,2.9
8/10/1984,2.898
8/13/1984,2.915
8/14/1984,2.888
8/15/1984,2.879
8/16/1984,2.857
8/17/1984,2.861
8/20/1984,2.87
8/21/1984,2.885
8/22/1984,2.88
8/23/1984,2.865
8/24/1984,2.874
8/27/1984,2.884
8/28/1984,2.88
8/29/1984,2.877
8/30/1984,2.887
8/31/1984,2.89
9/4/1984,2.93
9/5/1984,2.954
9/6/1984,2.948
9/7/1984,2.987
9/10/1984,2.992
9/11/1984,3.008
9/12/1984,2.998
9/13/1984,3.04
9/14/1984,3.034
9/17/1984,3.073
9/18/1984,3.094
9/19/1984,3.096
9/20/1984,3.128
9/21/1984,3.065
9/24/1984,3.027
9/25/1984,3.075
9/26/1984,3.042
